name,population,lga,region,latitude,longitude,designation
Armidale,21312,Armidale Regional,New England,-30.5167,151.6667,Urban Center
Ballina,18532,Ballina,Northern Rivers,-28.8667,153.5667,Urban Center
Batemans Bay,12263,Eurobodalla,South Coast,-35.7061,150.1756,Urban Center
Byron Bay,10538,Byron,Northern Rivers,-28.6444,153.6022,Urban Center
Casino,9968,Richmond Valley,Northern Rivers,-28.8586,153.0472,Urban Center
Cowra,8254,Cowra,Central West,-33.8333,148.6833,Urban Center
Camden Haven,8037,Mid-Coast,North Coast,-31.6333,152.8167,Urban Center
Cooma,6447,Snowy Monaro,Snowy Mountains,-36.2333,149.1283,Urban Center
Deniliquin,6431,Edward River,Murray,-35.5333,144.9667,Urban Center
Cootamundra,5732,Cootamundra-Gundagai,Riverina,-34.6367,148.0283,Urban Center
Alstonville,5182,Ballina,Northern Rivers,-28.8408,153.4357,Urban Center
