name,population,lga,region,latitude,longitude,designation
Blackheath,4479,Blue Mountains,Blue Mountains,-33.6333,150.2833,Urban Center
Bega,4368,Bega Valley,South Coast,-36.6833,149.85,Urban Center
Anna Bay - Boat Harbour,4241,Port Stephens,Hunter,-32.7833,152.0833,Urban Center
Bungendore,3935,Queanbeyan-Palerang,Capital Country,-35.2167,149.4333,Urban Center
Culburra Beach,3580,Shoalhaven,South Coast,-34.9333,150.7667,Urban Center
Bargo,3314,Wollondilly,Macarthur,-34.3,150.5833,Urban Center
Eden,3227,Bega Valley,South Coast,-37.0667,149.9,Urban Center
Bellingen,3201,Bellingen,North Coast,-30.4544,152.8981,Urban Center
Callala Bay,3076,Shoalhaven,South Coast,-35.0167,150.5167,Urban Center
Blayney,2997,Blayney,Central West,-33.5333,149.25,Urban Center
Evans Head,2894,Richmond Valley,Northern Rivers,-29.1167,153.4333,Urban Center
Branxton,2878,Singleton,Hunter,-32.65,151.35,Urban Center
Appin,2869,Wollondilly,Macarthur,-34.2,150.7833,Urban Center
Bonny Hills,2825,Port Macquarie-Hastings,North Coast,-31.5667,152.85,Urban Center
Bundanoon,2642,Wingecarribee,Southern Highlands,-34.65,150.3,Urban Center
Broulee,2502,Eurobodalla,South Coast,-35.85,150.1833,Urban Center
Berry,2467,Shoalhaven,South Coast,-34.7667,150.6944,Urban Center
Bangalow,2260,Byron,Northern Rivers,-28.6833,153.5167,Urban Center
Dalmeny,2194,Eurobodalla,South Coast,-36.1667,150.1333,Urban Center
Dungog,2169,Dungog,Hunter,-32.4,151.75,Urban Center
Bundeena,2103,Sutherland,Sydney,-34.0833,151.15,Urban Center
Crookwell,2098,Upper Lachlan,Capital Country,-34.45,149.4667,Urban Center
Aberdeen,1872,Upper Hunter,Hunter,-32.1667,150.8833,Urban Center
Arrawarra,1820,Coffs Harbour,North Coast,-30.0167,153.2,Urban Center
Bermagui,1798,Bega Valley,South Coast,-36.4167,150.0667,Urban Center
Barooga,1752,Berrigan,Murray,-35.9167,145.6667,Urban Center
Coolamon,1744,Coolamon,Riverina,-34.8167,147.2,Urban Center
Buxton,1741,Wollondilly,Macarthur,-34.25,150.5333,Urban Center
Brunswick Heads,1686,Byron,Northern Rivers,-28.5333,153.55,Urban Center
Corindi Beach,1649,Coffs Harbour,North Coast,-29.9833,153.2167,Urban Center
Basin View,1583,Shoalhaven,South Coast,-35.1,150.6167,Urban Center
Denman,1547,Muswellbrook,Hunter,-32.3833,150.6833,Urban Center
Bourke,1535,Bourke,Living Outback,-30.0833,145.9333,Urban Center
Colo Vale,1528,Wingecarribee,Southern Highlands,-34.4167,150.4667,Urban Center
Bowen Mountain,1498,Hawkesbury,Sydney,-33.4667,150.8,Urban Center
Canowindra,1451,Cabonne,Central West,-33.5667,148.6667,Urban Center
Emerald Beach West,1427,Coffs Harbour,North Coast,-30.2167,153.15,Locality
Braidwood,1414,Queanbeyan-Palerang,Capital Country,-35.4333,149.8,Urban Center
Boorowa,1402,Hilltops,Capital Country,-34.4333,148.7167,Urban Center
Bulahdelah,1163,Mid-Coast,North Coast,-32.4167,152.2,Urban Center
Coraki,1155,Richmond Valley,Northern Rivers,-28.9833,153.2833,Urban Center
Bombala,1136,Snowy Monaro,Snowy Mountains,-36.9167,149.2333,Urban Center
Ellalong,1125,Cessnock,Hunter,-32.8333,151.4333,Locality
Culcairn,1112,Greater Hume,Murray,-35.6667,147.0333,Urban Center
Douglas Park,1092,Wollondilly,Macarthur,-34.1833,150.7167,Urban Center
Balranald,1063,Balranald,Living Outback,-34.6333,143.5667,Urban Center
Dorrigo,1046,Bellingen,North Coast,-30.3333,152.7167,Urban Center
Barham,1036,Murray River,Murray,-35.6333,144.1333,Urban Center
Barraba,1035,Tamworth Regional,New England,-30.3833,150.6167,Urban Center
Berridale,1030,Snowy Monaro,Snowy Mountains,-36.3667,148.8333,Urban Center
Bingara,1028,Gwydir,New England,-29.8667,150.5667,Urban Center
Batlow,1022,Snowy Valleys,Riverina,-35.5167,148.15,Urban Center
Diamond Beach,1012,Mid-Coast,North Coast,-32.1833,152.5333,Locality
