Rank,Village Name,Population,Local Government Area,Region,Latitude,Longitude,Designation
1,Crescent Head,978,Kempsey,North Coast,-31.1833,152.9667,Locality
2,Berrigan,957,Berrigan,Murray,-35.6667,145.8,Locality
3,Bowraville,941,Nambucca Valley,North Coast,-30.65,152.85,Locality
4,Beechwood,914,Port Macquarie-Hastings,North Coast,-31.3833,152.85,Locality
5,East Jindabyne,907,Snowy Monaro,Snowy Mountains,-36.4167,148.6167,Locality
6,Boggabri,885,Narrabri,New England,-30.6833,150.0417,Locality
7,Clarence Town,878,Dungog,Hunter,-32.5833,151.7667,Locality
8,Darlington Point,868,Murrumbidgee,Riverina,-34.5667,146.0667,Locality
9,Adelong,856,Snowy Valleys,Riverina,-35.3167,148.0667,Locality
10,Brandy Hill,852,Port Stephens,Hunter,-32.6167,151.8333,Locality
11,Erowal Bay,791,Shoalhaven,South Coast,-35.1167,150.5667,Locality
12,Cunjurong Point,785,Shoalhaven,South Coast,-35.1833,150.5833,Locality
13,Brewarrina,743,Brewarrina,Living Outback,-29.9667,146.8583,Locality
14,Brooklyn,737,Central Coast,Central Coast,-33.5333,151.2167,Locality
15,Ewingsdale,733,Byron,Northern Rivers,-28.6167,153.5833,Locality
16,Dunedoo,725,Warrumbungle,Central West,-32.0167,149.3833,Locality
17,Coolah,722,Warrumbungle,Central West,-31.8167,149.7167,Locality
18,Bawley Point,716,Eurobodalla,South Coast,-35.5167,150.4,Locality
19,Clifton Grove,701,Greater Taree,North Coast,-31.8833,152.4,Locality
20,Cudgen,616,Tweed,Northern Rivers,-28.25,153.5833,Locality
21,Curlewis,605,Gunnedah,New England,-31.0833,150.3333,Locality
22,Eugowra,601,Forbes,Central West,-33.7167,148.3667,Locality
23,Cowan,599,Hornsby,Sydney,-33.5833,151.1667,Locality
24,Coomba Park,587,Mid-Coast,North Coast,-32.2667,152.5667,Locality
25,Baradine,586,Warrumbungle,Central West,-30.9333,149.0667,Locality
26,Belimbla Park,576,Camden,Macarthur,-34.0833,150.8,Locality
27,Coleambally,566,Murrumbidgee,Riverina,-34.8167,145.8833,Locality
28,Clunes,564,Lismore,Northern Rivers,-28.9667,153.35,Locality
29,Burringbar,555,Tweed,Northern Rivers,-28.3833,153.4833,Locality
30,Coutts Crossing,553,Clarence Valley,Northern Rivers,-29.6333,152.9167,Locality
31,Boggabilla,529,Moree Plains,New England,-28.6167,150.0333,Locality
32,Broadwater,524,Richmond Valley,Northern Rivers,-29.0333,153.4167,Locality
33,Dunoon,513,Lismore,Northern Rivers,-28.6833,153.3167,Locality
34,Euston,500,Balranald,Living Outback,-34.5833,142.7333,Locality
