name,population,lga,region,latitude,longitude,designation
Currarong,479,Shoalhaven,South Coast,-35.0167,150.8,Locality
Bonville East,476,Coffs Harbour,North Coast,-30.1667,153.1333,Locality
Captains Flat,473,Queanbeyan-Palerang,Capital Country,-35.6,149.4333,Locality
Ashford,472,Inverell,New England,-29.2333,151.1333,Locality
Dareton,456,Wentworth,Living Outback,-34.1,142.0333,Locality
Caniaba,438,Lismore,Northern Rivers,-28.8333,153.3667,Locality
Coopernook,430,Mid-Coast,North Coast,-31.9167,152.6,Locality
Collarenebri,425,Walgett,New England,-29.55,148.5833,Locality
Exeter,419,Wingecarribee,Southern Highlands,-34.6167,150.3167,Locality
Cobargo,417,Bega Valley,South Coast,-36.3833,149.9,Locality
Bonville,411,Coffs Harbour,North Coast,-30.1833,153.1167,Locality
Binnaway,399,Warrumbungle,Central West,-31.55,149.3833,Locality
Candelo,389,Bega Valley,South Coast,-36.7667,149.7167,Locality
Coramba,389,Coffs Harbour,North Coast,-30.2167,153.0667,Locality
Bundarra,374,Uralla,New England,-30.2667,151.1,Locality
Balmoral,365,Wingecarribee,Southern Highlands,-34.3333,150.5833,Locality
Awaba,362,Lake Macquarie,Hunter,-33.0167,151.5167,Locality
Ardlethan,352,Coolamon,Riverina,-34.3167,147.05,Locality
Boomerang Beach,334,Mid-Coast,North Coast,-32.2,152.5167,Locality
Bemboka,322,Bega Valley,South Coast,-36.5333,149.8667,Locality
Cudal,317,Cabonne,Central West,-33.2667,148.8833,Locality
Deepwater,315,Glen Innes Severn,New England,-29.15,151.8167,Locality
Dangar Island,313,Hornsby,Sydney,-33.5667,151.2,Locality
Attunga,307,Tamworth Regional,New England,-31.15,150.8667,Locality
Binalong,302,Yass Valley,Capital Country,-34.7167,148.85,Locality
Fairy Hill,302,Ballina,Northern Rivers,-28.8167,153.45,Locality
Emmaville,296,Glen Innes Severn,New England,-29.4833,151.5167,Locality
Conjola Park,291,Shoalhaven,South Coast,-35.25,150.4667,Locality
Bowning,290,Yass Valley,Capital Country,-34.8333,148.8667,Locality
Bodalla,281,Eurobodalla,South Coast,-36.0833,150.05,Locality
Delungra,281,Inverell,New England,-29.85,150.2833,Locality
Ashley,280,Clarence Valley,Northern Rivers,-29.2667,153.05,Locality
Bonalbo,278,Kyogle,Northern Rivers,-28.75,152.6167,Locality
Barellan,276,Narrandera,Riverina,-34.5667,146.8167,Locality
Ariah Park,272,Temora,Riverina,-34.3667,147.2167,Locality
Burrawang,270,Wingecarribee,Southern Highlands,-34.7,150.4333,Locality
Elizabeth Beach,268,Mid-Coast,North Coast,-32.25,152.5167,Locality
Cumnock,261,Orange,Central West,-33.6167,149.0667,Locality
Falls Creek,258,Tamworth Regional,New England,-31.2667,151.1,Locality
Adaminaby,257,Snowy Monaro,Snowy Mountains,-35.9667,148.7167,Locality
Berrima,255,Wingecarribee,Southern Highlands,-34.4833,150.35,Locality
Abernethy,255,Snowy Monaro,Snowy Mountains,-36.35,149.35,Locality
Bredbo,253,Snowy Monaro,Snowy Mountains,-35.85,149.5,Locality
Collector,251,Upper Lachlan,Capital Country,-34.9167,149.4333,Locality
Bilbul,251,Narrandera,Riverina,-34.6167,146.6333,Locality
Brooms Head,248,Clarence Valley,Northern Rivers,-29.6333,153.3167,Locality
Cargo,246,Orange,Central West,-33.75,148.9,Locality
Copmanhurst,240,Clarence Valley,Northern Rivers,-29.6,152.7167,Locality
Broke,231,Singleton,Hunter,-32.75,151.0667,Locality
Clarenza,229,Clarence Valley,Northern Rivers,-29.4167,153.3333,Locality
Barmedman,212,Temora,Riverina,-34.55,147.3333,Locality
Delegate,201,Snowy Monaro,Snowy Mountains,-37.0167,149.0167,Locality
Bonny Hills West,194,Port Macquarie-Hastings,North Coast,-31.5833,152.8333,Locality
Angourie,192,Clarence Valley,Northern Rivers,-29.4833,153.3667,Locality
Cullen Bullen,117,Lithgow,Blue Mountains,-33.2167,150.0333,Locality
