name,population,lga,region,latitude,longitude,designation,population_category
Armidale,21312,Armidale Regional,New England,-30.5167,151.6667,Urban Center,Large Village (5000+)
Ballina,18532,Ballina,Northern Rivers,-28.8667,153.5667,Urban Center,Large Village (5000+)
Batemans Bay,12263,Eurobodalla,South Coast,-35.7061,150.1756,Urban Center,Large Village (5000+)
Byron Bay,10538,Byron,Northern Rivers,-28.6444,153.6022,Urban Center,Large Village (5000+)
Casino,9968,Richmond Valley,Northern Rivers,-28.8586,153.0472,Urban Center,Large Village (5000+)
Cowra,8254,Cowra,Central West,-33.8333,148.6833,Urban Center,Large Village (5000+)
Camden Haven,8037,Mid-Coast,North Coast,-31.6333,152.8167,Urban Center,Large Village (5000+)
Cooma,6447,Snowy Monaro,Snowy Mountains,-36.2333,149.1283,Urban Center,Large Village (5000+)
Deniliquin,6431,Edward River,Murray,-35.5333,144.9667,Urban Center,Large Village (5000+)
Cootamundra,5732,Cootamundra-Gundagai,Riverina,-34.6367,148.0283,Urban Center,Large Village (5000+)
Alstonville,5182,Ballina,Northern Rivers,-28.8408,153.4357,Urban Center,Large Village (5000+)
Blackheath,4479,Blue Mountains,Blue Mountains,-33.6333,150.2833,Urban Center,Medium Village (1000-4999)
Bega,4368,Bega Valley,South Coast,-36.6833,149.85,Urban Center,Medium Village (1000-4999)
Anna Bay - Boat Harbour,4241,Port Stephens,Hunter,-32.7833,152.0833,Urban Center,Medium Village (1000-4999)
Bungendore,3935,Queanbeyan-Palerang,Capital Country,-35.2167,149.4333,Urban Center,Medium Village (1000-4999)
Culburra Beach,3580,Shoalhaven,South Coast,-34.9333,150.7667,Urban Center,Medium Village (1000-4999)
Bargo,3314,Wollondilly,Macarthur,-34.3,150.5833,Urban Center,Medium Village (1000-4999)
Eden,3227,Bega Valley,South Coast,-37.0667,149.9,Urban Center,Medium Village (1000-4999)
Bellingen,3201,Bellingen,North Coast,-30.4544,152.8981,Urban Center,Medium Village (1000-4999)
Callala Bay,3076,Shoalhaven,South Coast,-35.0167,150.5167,Urban Center,Medium Village (1000-4999)
Blayney,2997,Blayney,Central West,-33.5333,149.25,Urban Center,Medium Village (1000-4999)
Evans Head,2894,Richmond Valley,Northern Rivers,-29.1167,153.4333,Urban Center,Medium Village (1000-4999)
Branxton,2878,Singleton,Hunter,-32.65,151.35,Urban Center,Medium Village (1000-4999)
Appin,2869,Wollondilly,Macarthur,-34.2,150.7833,Urban Center,Medium Village (1000-4999)
Bonny Hills,2825,Port Macquarie-Hastings,North Coast,-31.5667,152.85,Urban Center,Medium Village (1000-4999)
Bundanoon,2642,Wingecarribee,Southern Highlands,-34.65,150.3,Urban Center,Medium Village (1000-4999)
Broulee,2502,Eurobodalla,South Coast,-35.85,150.1833,Urban Center,Medium Village (1000-4999)
Berry,2467,Shoalhaven,South Coast,-34.7667,150.6944,Urban Center,Medium Village (1000-4999)
Bangalow,2260,Byron,Northern Rivers,-28.6833,153.5167,Urban Center,Medium Village (1000-4999)
Dalmeny,2194,Eurobodalla,South Coast,-36.1667,150.1333,Urban Center,Medium Village (1000-4999)
Dungog,2169,Dungog,Hunter,-32.4,151.75,Urban Center,Medium Village (1000-4999)
Bundeena,2103,Sutherland,Sydney,-34.0833,151.15,Urban Center,Medium Village (1000-4999)
Crookwell,2098,Upper Lachlan,Capital Country,-34.45,149.4667,Urban Center,Medium Village (1000-4999)
Aberdeen,1872,Upper Hunter,Hunter,-32.1667,150.8833,Urban Center,Medium Village (1000-4999)
Arrawarra,1820,Coffs Harbour,North Coast,-30.0167,153.2,Urban Center,Medium Village (1000-4999)
Bermagui,1798,Bega Valley,South Coast,-36.4167,150.0667,Urban Center,Medium Village (1000-4999)
Barooga,1752,Berrigan,Murray,-35.9167,145.6667,Urban Center,Medium Village (1000-4999)
Coolamon,1744,Coolamon,Riverina,-34.8167,147.2,Urban Center,Medium Village (1000-4999)
Buxton,1741,Wollondilly,Macarthur,-34.25,150.5333,Urban Center,Medium Village (1000-4999)
Brunswick Heads,1686,Byron,Northern Rivers,-28.5333,153.55,Urban Center,Medium Village (1000-4999)
Corindi Beach,1649,Coffs Harbour,North Coast,-29.9833,153.2167,Urban Center,Medium Village (1000-4999)
Basin View,1583,Shoalhaven,South Coast,-35.1,150.6167,Urban Center,Medium Village (1000-4999)
Denman,1547,Muswellbrook,Hunter,-32.3833,150.6833,Urban Center,Medium Village (1000-4999)
Bourke,1535,Bourke,Living Outback,-30.0833,145.9333,Urban Center,Medium Village (1000-4999)
Colo Vale,1528,Wingecarribee,Southern Highlands,-34.4167,150.4667,Urban Center,Medium Village (1000-4999)
Bowen Mountain,1498,Hawkesbury,Sydney,-33.4667,150.8,Urban Center,Medium Village (1000-4999)
